Machine ID,Machine Type,Date,Shift,Temperature (°C),Vibration Level (mm/s),Energy Usage (kWh),Production Output (units),Downtime (minutes),Error Codes
M031,Weaving Machine,29-10-2024,Morning,63.9,20.1,38,103,8,E02
M033,Spinning Machine,11-09-2024,Morning,72.4,23,38.9,89,60,E02
M043,Printing Machine,29-09-2024,Morning,77.5,10.3,38,101,56,E02
M009,Spinning Machine,22-09-2024,Evening,89.7,13.7,41.6,132,38,E03
M031,Dyeing Machine,11-10-2024,Morning,78.3,15.6,36.6,163,11,E02
M009,Printing Machine,17-09-2024,Morning,69.7,10.3,36.1,90,42,E02
M009,Weaving Machine,17-10-2024,Night,63.5,16.4,35.6,55,45,None
M018,Dyeing Machine,29-10-2024,Evening,67.7,15.7,59.6,38,46,E02
M046,Spinning Machine,06-10-2024,Morning,88,11.7,44,67,15,None
M041,Dyeing Machine,30-10-2024,Night,74.5,23.8,40.6,158,51,E02
M034,Weaving Machine,18-09-2024,Morning,76.9,22.9,52.3,198,33,E03
M007,Weaving Machine,03-09-2024,Morning,79.1,19,55.3,119,37,None
M017,Spinning Machine,01-09-2024,Evening,89.7,12.9,35.8,169,29,E02
M035,Spinning Machine,19-10-2024,Evening,61.2,11.8,53.1,56,60,E01
M012,Printing Machine,16-10-2024,Evening,77.5,18.4,47.4,100,27,E01
M019,Spinning Machine,15-09-2024,Night,73,23.8,47.8,132,38,E03
M041,Printing Machine,30-10-2024,Evening,72.3,17.8,44.4,104,32,None
M045,Dyeing Machine,22-09-2024,Night,74.8,10.9,40.3,48,17,E02
M009,Spinning Machine,07-09-2024,Morning,70.8,13.5,35,148,0,None
M020,Printing Machine,22-09-2024,Night,63.6,24.4,56,114,31,E03
M006,Printing Machine,29-10-2024,Evening,79.6,18,52.2,171,31,E03
M008,Spinning Machine,01-09-2024,Morning,76.3,18,32.3,136,36,E01
M006,Spinning Machine,13-10-2024,Evening,78.1,10.8,42.1,88,51,E03
M022,Dyeing Machine,22-10-2024,Morning,67.2,13.8,54.1,94,3,None
M019,Printing Machine,15-09-2024,Night,75.3,20.3,40.4,183,19,E01
M031,Dyeing Machine,11-10-2024,Evening,78.5,14.7,39.1,120,43,None
M046,Dyeing Machine,22-09-2024,Morning,74.3,20.2,44.5,170,30,E01
M002,Weaving Machine,03-09-2024,Morning,84.5,13.8,34,146,23,None
M041,Dyeing Machine,16-10-2024,Night,73.8,23.1,40.4,88,19,None
M045,Dyeing Machine,21-09-2024,Night,69,15.2,53.1,93,20,None
M015,Dyeing Machine,23-10-2024,Evening,81.9,15.8,35.8,136,16,E02
M046,Spinning Machine,03-09-2024,Night,70.3,15,55.8,87,27,E03
M005,Dyeing Machine,20-10-2024,Night,77.8,11.7,43.6,62,32,E03
M048,Spinning Machine,04-09-2024,Evening,72.1,13.3,38.7,45,53,None
M010,Spinning Machine,22-10-2024,Morning,82.1,21.9,46.6,80,1,E02
M014,Dyeing Machine,07-09-2024,Morning,87.8,18,40.6,11,21,E02
M004,Dyeing Machine,09-09-2024,Night,60.1,12.2,57.2,76,37,E02
M008,Printing Machine,07-09-2024,Morning,84.4,22,54.6,109,14,E02
M007,Printing Machine,18-10-2024,Morning,77.4,21.2,33.4,182,40,E03
M039,Printing Machine,17-09-2024,Morning,90,19.5,39.5,76,2,E01
M008,Weaving Machine,16-10-2024,Morning,61.6,20.4,35.3,37,40,E02
M026,Spinning Machine,29-09-2024,Night,77.8,18.3,39.1,161,37,None
M006,Dyeing Machine,30-10-2024,Night,64.5,20,41.5,149,8,E01
M020,Weaving Machine,11-10-2024,Morning,79.7,16.3,57.1,145,51,E01
M020,Spinning Machine,16-09-2024,Morning,63.9,18.3,50.3,149,5,E02
M033,Printing Machine,11-09-2024,Night,81.7,20.9,49.7,145,31,E03
M031,Dyeing Machine,07-09-2024,Evening,60.6,14.3,57.6,90,35,E02
M016,Dyeing Machine,15-10-2024,Evening,87.4,21.4,45.1,200,12,E03
M040,Weaving Machine,14-09-2024,Morning,67.2,15.3,52.5,34,26,E01
M008,Weaving Machine,27-09-2024,Evening,68.7,10.8,46.5,173,23,E03
M020,Spinning Machine,12-10-2024,Night,69.6,21.1,56.3,37,20,E01
M018,Spinning Machine,29-09-2024,Morning,73.6,11.7,48.3,10,25,E03
M030,Printing Machine,08-09-2024,Evening,64.2,18.6,57.1,55,10,E03
M049,Dyeing Machine,02-10-2024,Morning,87.6,22.3,52.8,81,43,E01
M026,Dyeing Machine,16-09-2024,Morning,60.9,23,50.3,131,9,None
M011,Spinning Machine,23-09-2024,Evening,74.8,14.3,39.7,43,38,E02
M042,Dyeing Machine,13-09-2024,Morning,63.3,12.2,38,7,22,E03
M010,Spinning Machine,18-10-2024,Night,65,12.3,55.3,161,15,E01
M020,Dyeing Machine,07-10-2024,Evening,82.1,12.7,53.5,31,27,None
M027,Spinning Machine,22-10-2024,Night,67.4,14.8,39.3,95,22,E01
M022,Weaving Machine,14-09-2024,Morning,65.6,15.9,59.6,166,48,E01
M038,Weaving Machine,16-09-2024,Evening,79.5,16.2,32.1,61,24,E03
M050,Printing Machine,17-09-2024,Morning,77.6,12.2,49.5,114,35,E01
M025,Dyeing Machine,29-10-2024,Morning,66,18.9,37.7,82,15,E02
M039,Weaving Machine,23-10-2024,Night,67.1,14.5,31.1,120,9,E03
M047,Printing Machine,22-10-2024,Night,64.4,16.2,56.2,180,11,None
M026,Dyeing Machine,18-09-2024,Evening,71.8,19,42.8,1,31,E01
M018,Spinning Machine,01-10-2024,Evening,84.1,18.1,52.8,152,30,E03
M011,Printing Machine,02-09-2024,Evening,82.8,20.4,46.9,108,12,E02
M050,Dyeing Machine,10-09-2024,Night,74.8,15.5,41.9,148,29,E03
M011,Printing Machine,16-09-2024,Night,66.1,10.4,53.3,197,17,E03
M038,Spinning Machine,13-09-2024,Morning,61.9,23,34.6,92,46,None
M048,Weaving Machine,05-10-2024,Morning,79.3,19.6,37.4,154,17,None
M016,Weaving Machine,30-10-2024,Evening,88.2,13.7,55.7,14,46,E01
M032,Dyeing Machine,09-09-2024,Evening,77.5,22.8,59.4,72,43,E02
M014,Spinning Machine,17-10-2024,Night,65.5,18.1,33.8,183,41,E02
M020,Spinning Machine,15-09-2024,Evening,76.1,16.6,45.7,52,39,E01
M018,Spinning Machine,08-09-2024,Morning,62.9,12.3,47.2,46,5,E02
M024,Printing Machine,18-10-2024,Morning,87.2,19.1,47.7,129,43,E03
M008,Weaving Machine,27-10-2024,Evening,89.2,18.7,42.1,157,3,E02
M019,Dyeing Machine,11-10-2024,Evening,61.1,20.6,30.1,139,34,E01
M006,Weaving Machine,18-09-2024,Morning,81.1,15.1,38.4,97,37,E02
M049,Spinning Machine,25-09-2024,Morning,66.3,23.9,51.6,184,5,E01
M030,Printing Machine,21-10-2024,Evening,68,22,40,171,3,E02
M038,Dyeing Machine,23-10-2024,Morning,76.4,16.5,57.3,159,24,E02
M007,Printing Machine,01-09-2024,Morning,80.2,18.1,34,117,53,E03
M014,Weaving Machine,18-09-2024,Evening,65.5,12.4,52.6,164,44,None
M009,Printing Machine,07-09-2024,Morning,71.3,17.6,47.9,79,58,None
M010,Spinning Machine,04-10-2024,Evening,86.3,18,43.5,125,53,E01
M012,Spinning Machine,08-10-2024,Evening,81,14.6,49.5,14,18,None
M045,Spinning Machine,10-10-2024,Night,82.9,17.6,50.7,124,34,E02
M015,Weaving Machine,13-09-2024,Evening,74.4,10.9,38,24,58,E03
M038,Printing Machine,21-09-2024,Evening,81.7,12.7,41.3,196,42,E02
M015,Dyeing Machine,20-10-2024,Morning,60.4,10.7,44.2,11,7,E03
M037,Spinning Machine,02-10-2024,Night,64.9,24.3,47.9,1,42,E03
M018,Printing Machine,11-09-2024,Night,61.6,19.1,51.9,199,29,None
M018,Printing Machine,19-10-2024,Night,83.5,24,35.7,4,26,E03
M038,Printing Machine,28-10-2024,Night,76.7,15.1,53,36,24,E01
M021,Dyeing Machine,30-09-2024,Morning,60.9,18.2,52.9,4,29,E01
M047,Spinning Machine,12-09-2024,Night,77.1,23,35.2,52,38,E03
M050,Printing Machine,04-09-2024,Morning,89.4,10,50.4,168,19,E01
M037,Spinning Machine,30-09-2024,Morning,70.6,24.7,52.9,3,39,E01
M008,Dyeing Machine,27-10-2024,Night,67.4,18.4,47.4,83,30,E02
M021,Weaving Machine,04-10-2024,Night,60.4,11.8,36.1,58,13,E03
M041,Weaving Machine,07-09-2024,Morning,62.3,19,32.5,59,20,E03
M031,Dyeing Machine,03-10-2024,Evening,71.4,22.8,38.8,180,2,E03
M020,Printing Machine,22-09-2024,Night,85.5,23.9,57.8,147,23,E02
M042,Printing Machine,16-09-2024,Morning,88.2,13.8,45.3,40,14,E03
M030,Weaving Machine,04-09-2024,Morning,80.9,18,53.9,186,14,None
M029,Dyeing Machine,04-09-2024,Morning,70,22.6,49.1,71,18,E01
M034,Weaving Machine,08-10-2024,Night,87,21,35.8,81,16,E03
M016,Weaving Machine,16-09-2024,Morning,77.9,17.3,49.8,172,15,E03
M040,Printing Machine,21-10-2024,Morning,74.8,10.1,45.9,76,44,E02
M016,Printing Machine,17-09-2024,Evening,74.3,16.6,46.2,169,26,E03
M040,Spinning Machine,12-09-2024,Evening,66.2,19.6,39.1,192,0,None
M033,Printing Machine,19-09-2024,Morning,69.9,14.6,47.7,176,20,E01
M030,Dyeing Machine,29-10-2024,Morning,89.4,11.4,42.5,13,20,None
M030,Weaving Machine,15-09-2024,Night,61.8,20.2,45.7,106,0,None
M033,Spinning Machine,11-09-2024,Night,82.3,22.1,51.9,148,39,E02
M037,Dyeing Machine,28-10-2024,Night,74.9,13.6,56.8,82,60,E01
M031,Spinning Machine,15-09-2024,Morning,77.1,23,34.6,156,43,E01
M038,Weaving Machine,08-09-2024,Morning,61.2,15.6,36.2,79,43,E02
M041,Spinning Machine,13-10-2024,Morning,62.2,21.1,59.1,198,59,E03
M022,Dyeing Machine,12-09-2024,Night,65.7,17.9,58.3,176,31,E03
M040,Printing Machine,27-10-2024,Evening,79.5,24.7,55.6,50,44,E01
M041,Weaving Machine,07-10-2024,Morning,84.9,16.8,35.2,46,23,E03
M002,Printing Machine,18-10-2024,Evening,85.4,17.7,47.8,12,54,None
M024,Dyeing Machine,21-09-2024,Morning,66.4,24,51,101,17,E03
M041,Printing Machine,20-10-2024,Morning,74.6,19.4,35.3,39,44,E01
M040,Dyeing Machine,24-10-2024,Night,62.8,11.5,56.7,9,3,E03
M050,Spinning Machine,23-09-2024,Morning,60.3,13.7,55.7,26,34,E01
M030,Printing Machine,08-09-2024,Night,71.7,15.1,54.7,184,43,E01
M014,Dyeing Machine,31-10-2024,Evening,82.9,13.4,53,170,55,E01
M018,Printing Machine,07-09-2024,Night,63,13.2,34.4,165,49,E01
M017,Weaving Machine,31-10-2024,Night,86.1,17.1,49.6,66,31,E01
M008,Spinning Machine,20-09-2024,Evening,61.2,13.3,57.3,49,20,E02
M011,Dyeing Machine,22-10-2024,Morning,67.3,14.7,44.4,2,40,E03
M033,Dyeing Machine,19-10-2024,Night,64.6,24.3,53.6,114,41,E02
M041,Spinning Machine,24-09-2024,Night,68.2,17.3,35.8,57,42,E02
M049,Weaving Machine,15-10-2024,Morning,72.5,18.4,36.6,113,27,E03
M040,Weaving Machine,10-10-2024,Morning,86.1,13.8,44.3,187,50,None
M002,Dyeing Machine,25-09-2024,Evening,62,14.2,43.1,189,49,E02
M039,Weaving Machine,16-10-2024,Evening,73.5,11.7,35.3,111,25,E01
M017,Spinning Machine,11-09-2024,Evening,81.6,18,30.9,55,28,E01
M045,Spinning Machine,09-10-2024,Evening,90,24.1,39.2,116,47,None
M001,Printing Machine,09-10-2024,Night,78,16.6,56.5,6,23,E02
M050,Spinning Machine,20-09-2024,Night,60.4,16.6,59.3,144,7,E02
M004,Weaving Machine,10-10-2024,Morning,71,13.5,47.9,94,38,None
M031,Printing Machine,14-10-2024,Night,70.1,11.9,41.2,99,9,None
M049,Printing Machine,19-10-2024,Night,81.2,10.7,59.4,138,58,E03
M013,Spinning Machine,03-10-2024,Evening,84.8,18.7,42.7,39,46,E03
M004,Spinning Machine,08-10-2024,Morning,74.1,23.3,42.6,59,50,E02
M012,Dyeing Machine,18-09-2024,Night,85.9,20.2,32.6,38,56,E02
M037,Spinning Machine,15-09-2024,Night,78.6,17.6,34.7,104,38,E03
M035,Spinning Machine,25-10-2024,Morning,78.1,20.3,47.2,128,25,E02
M007,Weaving Machine,08-10-2024,Night,84.9,22.3,39.5,124,19,E03
M018,Printing Machine,01-10-2024,Morning,78.2,14.8,33.6,95,38,E01
M018,Spinning Machine,04-09-2024,Night,85.9,10.2,31.6,105,31,E02
M042,Spinning Machine,09-10-2024,Night,77.3,19,39.2,117,26,E02
M002,Printing Machine,13-09-2024,Evening,85.8,16.7,50.4,9,34,None
M026,Spinning Machine,04-10-2024,Night,85,18.7,59.9,105,7,E03
M038,Spinning Machine,04-10-2024,Night,70.7,16.6,41.2,27,50,E02
M013,Printing Machine,28-10-2024,Morning,71,16.3,56,115,25,None
M012,Dyeing Machine,27-10-2024,Evening,69.7,16.1,39.4,170,13,E02
M024,Dyeing Machine,02-09-2024,Morning,62.8,24.5,57.7,127,5,E01
M008,Weaving Machine,31-10-2024,Night,79.2,15.5,39.3,136,54,None
M023,Spinning Machine,18-10-2024,Morning,78.4,17.6,30.7,138,56,E03
M044,Printing Machine,31-10-2024,Night,65.9,24.8,45.1,112,6,E02
M032,Dyeing Machine,21-09-2024,Night,87,22.2,35.1,195,40,None
M003,Printing Machine,17-09-2024,Night,72.6,23.1,40.6,106,14,E02
M012,Weaving Machine,10-10-2024,Evening,83.4,13.3,51.4,35,7,None
M025,Weaving Machine,23-09-2024,Evening,65.2,16.5,49.9,126,2,E03
M007,Dyeing Machine,19-10-2024,Evening,89.2,16.7,46.5,7,5,E03
M010,Spinning Machine,05-10-2024,Night,65.6,20.3,32.6,179,51,E03
M028,Weaving Machine,09-10-2024,Night,86.4,24.7,48.4,133,55,None
M012,Printing Machine,15-10-2024,Evening,89.9,16.8,36.5,168,25,E01
M037,Dyeing Machine,07-10-2024,Evening,76.4,15.3,54.1,125,31,E02
M007,Printing Machine,21-09-2024,Evening,69.3,23.3,53.8,83,49,None
M013,Dyeing Machine,30-10-2024,Evening,79.9,22.2,53.9,37,15,None
M040,Weaving Machine,19-10-2024,Evening,68.3,23.1,45.1,136,32,None
M016,Weaving Machine,23-10-2024,Morning,66.6,16.1,30,154,50,None
M021,Printing Machine,27-09-2024,Morning,69.1,15.3,56.7,46,6,E01
M050,Weaving Machine,29-09-2024,Morning,72.3,22.3,59,98,41,E02
M013,Weaving Machine,20-10-2024,Morning,75.4,24.9,50,62,22,E03
M021,Dyeing Machine,24-09-2024,Night,82.5,19.7,30.1,56,22,E02
M011,Printing Machine,05-10-2024,Evening,69.7,21.9,46.6,181,20,E01
M014,Printing Machine,26-09-2024,Evening,63.9,11.7,40.6,153,24,E03
M022,Printing Machine,20-09-2024,Night,65.4,16.6,39.3,129,34,E03
M042,Dyeing Machine,31-10-2024,Night,83.7,21.6,30.7,128,38,E01
M040,Printing Machine,21-10-2024,Night,74.7,12.9,59.6,200,6,None
M035,Weaving Machine,20-10-2024,Morning,88.6,10.5,33.4,77,45,None
M011,Printing Machine,09-09-2024,Night,60.7,21.8,58.1,112,58,E03
M028,Weaving Machine,29-10-2024,Evening,62.2,11.1,44.6,58,25,None
M027,Spinning Machine,19-10-2024,Evening,86.4,23.9,57.2,20,31,E01
M045,Printing Machine,23-10-2024,Morning,64.2,15.9,49.2,176,39,E03
M028,Dyeing Machine,08-09-2024,Evening,83.9,23.5,36.8,129,7,E03
M013,Dyeing Machine,30-10-2024,Evening,89.4,21.4,31.1,48,45,E03
M009,Printing Machine,15-09-2024,Night,77.2,16.1,30.3,177,47,E01
M048,Dyeing Machine,23-09-2024,Night,67.4,23.2,52.1,185,6,None
M011,Spinning Machine,13-09-2024,Evening,61.1,17.5,54.3,67,6,E03
M026,Dyeing Machine,28-10-2024,Morning,63.9,11.6,54.1,113,44,E01
M023,Printing Machine,27-10-2024,Morning,74.8,14.3,44.9,131,34,E02
M009,Weaving Machine,22-09-2024,Morning,75.5,18.2,51.6,62,41,E01
M004,Dyeing Machine,26-10-2024,Morning,68.2,15.8,31.6,122,50,None
M015,Spinning Machine,18-09-2024,Morning,78.2,17,44,87,45,E02
M002,Dyeing Machine,11-10-2024,Evening,61.3,24.5,40.4,170,14,E03
M045,Weaving Machine,02-09-2024,Night,60.4,13.6,51.5,200,39,E03
M020,Dyeing Machine,29-10-2024,Night,77.8,22.4,56.7,12,26,None
M004,Weaving Machine,03-10-2024,Night,88.9,17.6,47.9,48,27,None
M013,Dyeing Machine,17-10-2024,Evening,80.9,14.4,42.3,190,9,E02
M005,Spinning Machine,17-09-2024,Morning,66.6,21.3,47.2,64,4,E01
M010,Printing Machine,27-10-2024,Morning,66,14.6,43.6,195,36,E02
M012,Dyeing Machine,14-09-2024,Night,66.4,20.4,51.6,177,4,E03
M011,Spinning Machine,30-10-2024,Night,65.1,24.5,51.8,22,11,None
M046,Printing Machine,03-10-2024,Night,64.8,18.8,50.4,146,17,E01
M019,Spinning Machine,16-10-2024,Morning,64.2,23.3,37.5,33,34,None
M004,Spinning Machine,05-09-2024,Night,84.6,24.8,57.9,184,7,E02
M042,Spinning Machine,27-10-2024,Night,70.6,12.1,50.6,69,25,E03
M002,Spinning Machine,21-09-2024,Morning,88.1,18.2,56,196,8,E03
M047,Weaving Machine,17-10-2024,Night,70.2,15.9,34.9,79,4,E03
M027,Dyeing Machine,29-10-2024,Morning,80.2,18.6,45.6,170,24,E01
M039,Dyeing Machine,08-10-2024,Night,76.1,22,31,84,41,E01
M043,Dyeing Machine,22-09-2024,Evening,80.8,21,42.9,193,47,E01
M034,Printing Machine,27-10-2024,Night,77.6,12.4,47.4,120,20,E03
M044,Dyeing Machine,28-10-2024,Morning,90,22.5,34.7,1,5,E02
M001,Weaving Machine,10-10-2024,Morning,72,18.5,32.1,73,41,E03
M020,Printing Machine,23-09-2024,Evening,65,17.9,50.4,152,51,E01
M039,Dyeing Machine,15-10-2024,Night,60,15.3,58.2,162,49,None
M045,Dyeing Machine,07-10-2024,Night,89.5,21.7,49.1,10,31,E03
M050,Weaving Machine,18-10-2024,Night,67.1,24.2,45.3,70,9,E03
M047,Weaving Machine,03-09-2024,Morning,84.9,22,44.5,115,42,E02
M031,Spinning Machine,17-10-2024,Night,64.4,22.5,56.4,86,29,E02
M028,Spinning Machine,15-09-2024,Night,86.8,15.4,46.3,106,6,E01
M009,Weaving Machine,08-09-2024,Night,86.3,17.1,38.5,49,16,E01
M025,Printing Machine,17-10-2024,Evening,86.6,23.7,31.8,23,7,E01
M042,Weaving Machine,02-10-2024,Evening,80.4,19.9,57.2,150,7,E02
M018,Printing Machine,28-09-2024,Morning,70.7,23.8,52.5,165,8,None
M005,Printing Machine,05-09-2024,Evening,84.3,16,54.4,180,35,None
M004,Printing Machine,05-09-2024,Evening,86.4,13.6,58,111,43,E03
M042,Dyeing Machine,03-09-2024,Evening,63,21.8,35.7,21,22,None
M043,Printing Machine,21-10-2024,Evening,63,18.7,38.2,21,28,E02
M048,Weaving Machine,11-09-2024,Morning,68.1,20.3,51.9,89,51,E03
M016,Spinning Machine,30-09-2024,Evening,67.8,14.8,45.4,150,31,E02
M024,Weaving Machine,08-10-2024,Night,63,20.3,52.7,185,59,None
M001,Printing Machine,23-09-2024,Night,65.6,18.4,59.8,110,52,E03
M045,Dyeing Machine,22-09-2024,Night,80.9,18.7,52.9,143,48,E03
M048,Dyeing Machine,30-09-2024,Evening,75.2,12.9,52,9,4,E02
M038,Dyeing Machine,29-09-2024,Night,86.7,23.5,57.5,105,32,E01
M012,Spinning Machine,20-10-2024,Evening,88.1,15.5,31.8,93,25,E02
M014,Printing Machine,13-10-2024,Morning,64,16.5,41.7,186,51,E03
M011,Dyeing Machine,09-10-2024,Morning,62.3,21.8,37.9,164,36,E02
M011,Weaving Machine,10-09-2024,Morning,87.9,23.2,52,46,30,None
M009,Printing Machine,31-10-2024,Night,75.3,12.8,59.7,1,35,E03
M007,Weaving Machine,14-10-2024,Morning,83.6,24.7,34,115,44,None
M008,Spinning Machine,27-10-2024,Evening,73,19.5,39.8,64,46,E03
M015,Printing Machine,07-09-2024,Morning,77.1,15.9,44.4,96,32,None
M003,Weaving Machine,04-09-2024,Morning,78.4,16.4,49.2,166,3,E03
M036,Spinning Machine,20-10-2024,Night,70.8,22.7,36.4,145,46,E01
M023,Spinning Machine,01-09-2024,Night,82.7,13,55.4,62,45,E01
M010,Printing Machine,13-09-2024,Morning,65,15.1,55.5,116,51,None
M035,Printing Machine,13-09-2024,Morning,87.7,22,38.5,10,33,E02
M012,Spinning Machine,29-10-2024,Evening,67.6,24.9,43.4,44,47,E02
M027,Spinning Machine,26-09-2024,Evening,67.7,12.8,38.6,69,7,E01
M036,Dyeing Machine,12-10-2024,Morning,71.4,21.2,31.4,133,29,None
M016,Weaving Machine,01-10-2024,Night,83,19.1,42.3,73,27,E01
M018,Spinning Machine,16-09-2024,Evening,65.7,24,43.3,10,42,None
M047,Weaving Machine,04-10-2024,Night,75.7,20.2,50.9,189,17,E01
M019,Weaving Machine,29-10-2024,Morning,78.7,16.1,57.5,192,36,E02
M033,Printing Machine,11-09-2024,Morning,77.7,24.1,49.3,100,20,E01
M013,Spinning Machine,01-09-2024,Night,84.6,15.9,54.8,51,16,E02
M030,Spinning Machine,19-10-2024,Evening,72.6,10.8,38.1,72,35,E02
M011,Spinning Machine,21-10-2024,Night,68,17.9,49,31,8,E02
M004,Dyeing Machine,22-09-2024,Night,73.9,23.7,37.5,192,48,E02
M003,Spinning Machine,25-10-2024,Night,86.7,24.9,59.7,93,0,None
M029,Spinning Machine,21-09-2024,Night,80.6,18.4,30.5,166,15,E03
M002,Dyeing Machine,15-09-2024,Night,86.6,19.1,46.5,186,30,E03
M047,Spinning Machine,06-09-2024,Night,69.7,10.5,52.9,114,19,E03
M004,Spinning Machine,31-10-2024,Night,79.3,22.2,50.7,43,5,None
M002,Spinning Machine,30-10-2024,Evening,80.1,19.3,41,194,17,None
M011,Weaving Machine,24-09-2024,Evening,70.4,22.8,37.2,149,26,E01
M031,Weaving Machine,14-10-2024,Evening,65.6,24.8,44.2,199,33,E03
M005,Dyeing Machine,15-09-2024,Night,68.5,12.2,58.9,119,58,E02
M007,Dyeing Machine,19-09-2024,Morning,72,22.1,57.5,65,21,None
M033,Dyeing Machine,19-10-2024,Morning,61.1,19,56.5,127,44,None
M019,Dyeing Machine,18-09-2024,Evening,74.7,14.8,49.9,127,38,E03
M014,Weaving Machine,30-10-2024,Night,84.6,20.8,55.4,60,16,E02
M040,Printing Machine,25-09-2024,Morning,64.2,11.9,34.7,173,59,E01
M029,Printing Machine,16-10-2024,Morning,63.2,13.8,53.4,118,33,E01
M012,Printing Machine,21-09-2024,Morning,73.9,23.9,30.1,199,15,E02
M009,Printing Machine,18-09-2024,Evening,62.7,17.4,50.3,84,10,E02
M007,Dyeing Machine,03-09-2024,Morning,76.6,18.8,44,182,59,E03
M049,Dyeing Machine,09-10-2024,Morning,76.2,10.1,50.6,97,39,None
M024,Dyeing Machine,31-10-2024,Morning,80.6,10.4,44.4,46,2,E03
M008,Printing Machine,18-09-2024,Night,74.8,18,36,40,21,E02
M024,Spinning Machine,15-09-2024,Morning,70,19.3,43.3,131,20,E02
M001,Weaving Machine,05-09-2024,Night,82.5,19.5,35.4,130,4,E03
M049,Dyeing Machine,28-10-2024,Night,68.5,19.1,47.8,109,13,E02
M028,Spinning Machine,19-09-2024,Night,67.8,12.2,37.5,171,46,E02
M018,Printing Machine,09-09-2024,Evening,71.8,11.3,54.2,165,54,None
M049,Printing Machine,03-10-2024,Evening,85.8,12.9,31,124,3,E03
M046,Printing Machine,29-09-2024,Evening,86.9,16.7,32.7,183,45,None
M027,Printing Machine,05-10-2024,Evening,72,22.5,41.7,1,36,None
M009,Dyeing Machine,19-10-2024,Night,63.6,14.7,51.6,19,51,E03
M001,Spinning Machine,24-10-2024,Evening,62.2,17.4,54.3,134,33,None
M041,Spinning Machine,10-09-2024,Evening,62.2,17.3,42.3,161,24,E03
M023,Printing Machine,04-10-2024,Evening,80.9,13.6,31.3,171,46,E02
M017,Printing Machine,26-09-2024,Night,61.2,11.6,55.8,113,50,None
M043,Weaving Machine,19-09-2024,Morning,69,21.7,36.1,69,1,E03
M018,Printing Machine,12-09-2024,Evening,82.5,16.6,35.5,141,18,E01
M024,Spinning Machine,30-09-2024,Night,68.5,13.3,54.7,91,6,None
M031,Printing Machine,02-09-2024,Evening,69.9,14.2,40,179,45,E01
M017,Spinning Machine,02-10-2024,Night,64.8,20.1,50.3,107,45,E01
M027,Printing Machine,28-10-2024,Night,69.3,22.1,59.7,69,45,None
M016,Printing Machine,25-10-2024,Evening,82,15.9,51.7,44,28,E02
M035,Weaving Machine,28-10-2024,Night,80.2,14.1,33,22,4,E01
M037,Dyeing Machine,12-09-2024,Morning,83.2,10.2,48.9,45,10,None
M025,Weaving Machine,16-10-2024,Evening,85.4,16.9,49.3,134,40,E03
M047,Printing Machine,21-09-2024,Evening,68.4,24.2,58.2,26,14,None
M027,Printing Machine,18-10-2024,Evening,85.8,18.5,32.9,92,16,E01
M024,Weaving Machine,27-09-2024,Morning,67.6,22.4,30.8,12,48,E02
M033,Dyeing Machine,13-10-2024,Morning,81.3,24.6,54.3,64,42,E01
M032,Spinning Machine,17-09-2024,Morning,84.1,13.3,33.7,93,54,E02
M003,Spinning Machine,23-09-2024,Night,68.1,11.9,44.3,118,50,None
M015,Dyeing Machine,14-10-2024,Night,70.1,14.9,35.2,167,47,None
M044,Dyeing Machine,30-09-2024,Morning,67.2,18.2,56.5,192,35,E03
M039,Printing Machine,06-10-2024,Morning,69.9,16.3,59.9,140,5,E03
M019,Weaving Machine,29-10-2024,Night,78.5,25,34.7,185,55,E01
M030,Dyeing Machine,24-10-2024,Night,60.7,19.4,37.5,181,58,E01
M024,Printing Machine,12-10-2024,Evening,70.9,18.9,38.2,167,11,None
M022,Weaving Machine,08-10-2024,Evening,88.1,18.1,39.9,84,18,E02
M017,Weaving Machine,04-09-2024,Morning,77,18.4,52.7,72,10,E02
M046,Weaving Machine,20-09-2024,Night,65.7,23.1,59,28,33,E01
M032,Printing Machine,09-09-2024,Night,88.5,10.1,42.6,6,6,E03
M030,Dyeing Machine,11-09-2024,Night,88.5,24.2,36.8,175,38,E01
M029,Weaving Machine,19-10-2024,Night,72.8,10.3,47.9,9,11,E03
M005,Weaving Machine,10-10-2024,Morning,82.9,16.7,40.4,37,16,None
M043,Spinning Machine,22-10-2024,Evening,68.8,10.7,33.4,99,31,E01
M008,Spinning Machine,13-09-2024,Evening,84.8,23.1,50.5,152,52,None
M041,Dyeing Machine,12-10-2024,Evening,74.3,16.4,55.5,137,39,E03
M010,Printing Machine,11-09-2024,Morning,72.1,14.6,47.1,38,23,None
M043,Dyeing Machine,17-10-2024,Evening,69.2,10.8,34.3,171,32,None
M036,Spinning Machine,15-09-2024,Evening,79.5,12.3,37.4,124,23,E02
M015,Dyeing Machine,17-09-2024,Evening,60.2,23.8,57.1,99,12,None
M009,Spinning Machine,05-09-2024,Morning,86.3,19.9,50.6,104,29,None
M037,Printing Machine,12-10-2024,Night,77.7,14.6,55.3,140,57,None
M045,Printing Machine,24-10-2024,Morning,68.4,13.5,32.2,140,2,E02
M004,Dyeing Machine,30-09-2024,Morning,89.5,18.8,42.3,78,20,E02
M019,Printing Machine,24-09-2024,Night,84.3,10.6,40.2,65,18,None
M039,Weaving Machine,20-10-2024,Morning,80.4,18.9,56.5,1,0,None
